REGION,PRIMARY_SAMPLE_UNIT,STATION_NR,YEAR,MONTH,DAY,HABITAT_CD,STRAT,RUGOSITY_CD,WTD_RUG,LAT_DEGREES,LON_DEGREES,MAPGRID_NR,SUB_REGION_NAME,SUB_REGION_NR,ZONE_NAME,ZONE_NR,MPA_NAME,MPA_NR,ADMIN,PROT,DEPTH_STRAT,MIN_DEPTH,MAX_DEPTH,METERS_COMPLETED,SPECIES_CD,SPECIES_NAME,N,JUV,MAX_DIAMETER,PERP_DIAMETER,HEIGHT,OLD_MORT,RECENT_MORT,BLEACH_CONDITION,DISEASE
PRICO,9274,1,2014,8,26,PVMT,PVMT_DEEP,NA,0.933333333,18.3535338,-65.567431,11388445,EPRICO,NA,NA,NA,NA,NA,OPEN,NA,DEEP,14.93519952,17.06879945,10,MYC LAMA,Mycetophyllia lamarckiana,0,0,NA,NA,NA,NA,NA,NA,NA
PRICO,9277,1,2014,8,28,BDRK,BDRK_SHLW,NA,0.520833333,18.2617152,-65.606083,9977557,EPRICO,NA,NA,NA,NA,NA,OPEN,NA,SHLW,3.657599883,4.571999854,10,MYC LAMA,Mycetophyllia lamarckiana,0,0,NA,NA,NA,NA,NA,NA,NA
PRICO,9281,1,2014,8,28,PVMT,PVMT_SHLW,NA,0.704166667,18.3490725,-67.270246,10965042,NPRICO,NA,NA,NA,NA,NA,TPR,NA,SHLW,8.534399727,10.05839968,10,MYC LAMA,Mycetophyllia lamarckiana,0,0,NA,NA,NA,NA,NA,NA,NA
PRICO,9283,1,2014,6,10,PVMT,PVMT_DEEP,NA,0.277083333,18.3459063,-67.269805,10916869,NPRICO,NA,NA,NA,NA,NA,TPR,NA,DEEP,10.66799966,12.4967996,10,MYC LAMA,Mycetophyllia lamarckiana,0,0,NA,NA,NA,NA,NA,NA,NA
PRICO,9284,1,2014,8,28,BDRK,BDRK_SHLW,NA,0.325,18.3453814,-67.261768,10910004,NPRICO,NA,NA,NA,NA,NA,TPR,NA,SHLW,1.523999951,2.133599932,10,MYC LAMA,Mycetophyllia lamarckiana,0,0,NA,NA,NA,NA,NA,NA,NA
PRICO,9285,1,2014,9,6,SCR,SCR_DEEP,NA,0.335416667,18.3145269,-67.246941,10442060,NPRICO,NA,NA,NA,NA,NA,OPEN,NA,DEEP,12.19199961,17.98319942,10,MYC LAMA,Mycetophyllia lamarckiana,0,0,NA,NA,NA,NA,NA,NA,NA
PRICO,9288,1,2014,9,6,AGRF,AGRF_DEEP,NA,0.54375,18.2927929,-67.241485,10111736,NPRICO,NA,NA,NA,NA,NA,OPEN,NA,DEEP,11.88719962,14.02079955,10,MYC LAMA,Mycetophyllia lamarckiana,0,0,NA,NA,NA,NA,NA,NA,NA
PRICO,9289,1,2014,7,20,AGRF,AGRF_DEEP,NA,0.97,18.104076,-67.936017,7157892,SWPRICO,NA,NA,NA,NA,NA,MONA,NA,DEEP,7.010399776,10.97279965,10,MYC LAMA,Mycetophyllia lamarckiana,0,0,NA,NA,NA,NA,NA,NA,NA
PRICO,9290,1,2014,7,30,PVMT,PVMT_DEEP,NA,0.7,18.1009468,-67.942179,7109705,SWPRICO,NA,NA,NA,NA,NA,MONA,NA,DEEP,15.84959949,17.67839943,10,MYC LAMA,Mycetophyllia lamarckiana,0,0,NA,NA,NA,NA,NA,NA,NA
PRICO,9292,1,2014,7,30,AGRF,AGRF_DEEP,NA,0.679166667,18.0887598,-67.944614,6923886,SWPRICO,NA,NA,NA,NA,NA,MONA,NA,DEEP,8.534399727,10.05839968,10,MYC LAMA,Mycetophyllia lamarckiana,0,0,NA,NA,NA,NA,NA,NA,NA
PRICO,9293,1,2014,8,1,PTRF,PTRF_SHLW,NA,0.827083333,18.0792425,-67.939474,6779375,SWPRICO,NA,NA,NA,NA,NA,MONA,NA,SHLW,2.743199912,6.095999805,10,MYC LAMA,Mycetophyllia lamarckiana,0,0,NA,NA,NA,NA,NA,NA,NA
PRICO,9298,1,2014,7,31,PVMT,PVMT_DEEP,NA,0.3625,18.0679012,-67.852617,6614391,SWPRICO,NA,NA,NA,NA,NA,MONA,NA,DEEP,12.19199961,14.93519952,10,MYC LAMA,Mycetophyllia lamarckiana,0,0,NA,NA,NA,NA,NA,NA,NA
PRICO,9299,1,2014,7,31,PVMT,PVMT_SHLW,NA,0.314583333,18.0587675,-67.914088,6469739,SWPRICO,NA,NA,NA,NA,NA,MONA,NA,SHLW,8.839199717,9.143999707,10,MYC LAMA,Mycetophyllia lamarckiana,0,0,NA,NA,NA,NA,NA,NA,NA
PRICO,9302,1,2014,7,31,AGRF,AGRF_SHLW,NA,0.749166667,18.0544158,-67.864514,6407906,SWPRICO,NA,NA,NA,NA,NA,MONA,NA,SHLW,12.80159959,15.23999951,10,MYC LAMA,Mycetophyllia lamarckiana,0,0,NA,NA,NA,NA,NA,NA,NA
PRICO,9303,1,2014,7,30,PVMT,PVMT_DEEP,NA,0.3875,18.0519525,-67.907516,6366523,SWPRICO,NA,NA,NA,NA,NA,MONA,NA,DEEP,15.5447995,17.06879945,10,MYC LAMA,Mycetophyllia lamarckiana,0,0,NA,NA,NA,NA,NA,NA,NA
PRICO,9304,1,2014,7,31,SCR,SCR_SHLW,NA,0.697916667,18.0500347,-67.888161,6339036,SWPRICO,NA,NA,NA,NA,NA,MONA,NA,SHLW,12.19199961,13.41119957,10,MYC LAMA,Mycetophyllia lamarckiana,0,0,NA,NA,NA,NA,NA,NA,NA
PRICO,9305,1,2014,8,29,PTRF,PTRF_DEEP,NA,0.304166667,18.2013148,-65.509519,9083104,EPRICO,NA,NA,NA,NA,NA,OPEN,NA,DEEP,15.84959949,16.15439948,10,MYC LAMA,Mycetophyllia lamarckiana,0,0,NA,NA,NA,NA,NA,NA,NA
PRICO,9306,1,2014,8,29,PTRF,PTRF_SHLW,NA,0.345833333,18.1905747,-65.514454,8917926,EPRICO,NA,NA,NA,NA,NA,OPEN,NA,SHLW,7.315199766,7.315199766,10,MYC LAMA,Mycetophyllia lamarckiana,0,0,NA,NA,NA,NA,NA,NA,NA
