"REGION","PRIMARY_SAMPLE_UNIT","STATION_NR","YEAR","MONTH","DAY","HABITAT_CD","STRAT","RUGOSITY_CD","WTD_RUG","MEAN_RUG","LAT_DEGREES","LON_DEGREES","MAPGRID_NR","SUB_REGION_NAME","SUB_REGION_NR","ZONE_NAME","ZONE_NR","MPA_NAME","MPA_NR","ADMIN","PROT","DEPTH_STRAT","MIN_DEPTH","MAX_DEPTH","METERS_COMPLETED","SPECIES_CD","SPECIES_NAME","N","JUV","MAX_DIAMETER","PERP_DIAMETER","HEIGHT","OLD_MORT","RECENT_MORT","BLEACH_CONDITION","DISEASE"
"PRICO",6155,1,2021,12,10,"PVMT","PVMT_DEEP",NA,NA,0.223333333333333,17.99034,-65.859,5772130,"SWPRICO",NA,NA,NA,NA,NA,"OPEN",NA,"DEEP",13.1063995805952,13.4111995708416,10,"ACR CERV","Acropora cervicornis",0,0,NA,NA,NA,NA,NA,NA,NA
"PRICO",6159,1,2021,11,9,"SCR","SCR_DEEP",NA,NA,0,18.01222,-67.28425,5831047,"SWPRICO",NA,NA,NA,NA,NA,"OPEN",NA,"DEEP",21.6407993074944,21.6407993074944,10,"ACR CERV","Acropora cervicornis",0,0,NA,NA,NA,NA,NA,NA,NA
"PRICO",6161,1,2021,8,18,"AGRF","AGRF_SHLW",NA,NA,0.526666666666667,18.01466,-67.207,5879385,"SWPRICO",NA,NA,NA,NA,NA,"OPEN",NA,"SHLW",3.6575998829568,5.48639982443521,10,"ACR CERV","Acropora cervicornis",0,0,NA,NA,NA,NA,NA,NA,NA
"PRICO",6162,1,2021,8,13,"HARD","HARD_DEEP",NA,NA,0.313333333333333,18.01644,-67.35804,5885947,"SWPRICO",NA,NA,NA,NA,NA,"OPEN",NA,"DEEP",18.5927994050304,19.5071993757696,10,"ACR CERV","Acropora cervicornis",0,0,NA,NA,NA,NA,NA,NA,NA
"PRICO",6163,1,2021,8,13,"HARD","HARD_DEEP",NA,NA,0.313333333333333,18.01687,-67.35521,5892835,"SWPRICO",NA,NA,NA,NA,NA,"OPEN",NA,"DEEP",17.3735994440448,17.9831994245376,10,"ACR CERV","Acropora cervicornis",0,0,NA,NA,NA,NA,NA,NA,NA
"PRICO",6166,1,2021,11,9,"PTRF","PTRF_DEEP",NA,NA,0.666666666666667,18.02208,-67.32935,5975474,"SWPRICO",NA,NA,NA,NA,NA,"OPEN",NA,"DEEP",19.5071993757696,20.4215993465088,7,"ACR CERV","Acropora cervicornis",0,0,NA,NA,NA,NA,NA,NA,NA
"PRICO",6168,1,2021,11,9,"PVMT","PVMT_DEEP",NA,NA,0.3,18.03,-67.30788,6099395,"SWPRICO",NA,NA,NA,NA,NA,"OPEN",NA,"DEEP",21.335999317248,21.6407993074944,10,"ACR CERV","Acropora cervicornis",0,0,NA,NA,NA,NA,NA,NA,NA
"PRICO",6177,1,2021,8,12,"HARD","HARD_DEEP",NA,NA,0.34,18.04427,-67.39321,6305674,"SWPRICO",NA,NA,NA,NA,NA,"OPEN",NA,"DEEP",12.191999609856,13.1063995805952,10,"ACR CERV","Acropora cervicornis",0,0,NA,NA,NA,NA,NA,NA,NA
"PRICO",6192,1,2021,8,12,"HARD","HARD_DEEP",NA,NA,0.276666666666667,18.06075,-67.40958,6553391,"SWPRICO",NA,NA,NA,NA,NA,"OPEN",NA,"DEEP",14.0207995513344,14.6303995318272,10,"ACR CERV","Acropora cervicornis",0,0,NA,NA,NA,NA,NA,NA,NA
"PRICO",6202,1,2021,8,18,"PTRF","PTRF_SHLW",NA,NA,0.64,18.07544,-67.24694,6801487,"SWPRICO",NA,NA,NA,NA,NA,"OPEN",NA,"SHLW",7.01039977566721,7.92479974640641,10,"ACR CERV","Acropora cervicornis",0,0,NA,NA,NA,NA,NA,NA,NA
"PRICO",6204,1,2021,8,12,"HARD","HARD_DEEP",NA,NA,0.453333333333333,18.08359,-67.42166,6897465,"SWPRICO",NA,NA,NA,NA,NA,"OPEN",NA,"DEEP",11.2775996391168,12.191999609856,10,"ACR CERV","Acropora cervicornis",0,0,NA,NA,NA,NA,NA,NA,NA
"PRICO",6207,1,2021,8,12,"HARD","HARD_SHLW",NA,NA,0.456666666666667,18.08414,-67.42024,6911232,"SWPRICO",NA,NA,NA,NA,NA,"OPEN",NA,"SHLW",11.2775996391168,11.8871996196096,10,"ACR CERV","Acropora cervicornis",0,0,NA,NA,NA,NA,NA,NA,NA
"PRICO",6213,1,2021,4,30,"HARD","HARD_SHLW",NA,NA,0.0386666666666667,18.14976,-67.32516,7923086,"SWPRICO",NA,NA,NA,NA,NA,"OPEN",NA,"SHLW",10.9727996488704,11.8871996196096,10,"ACR CERV","Acropora cervicornis",0,0,NA,NA,NA,NA,NA,NA,NA
"PRICO",6219,1,2021,4,30,"HARD","HARD_SHLW",NA,NA,0.0666666666666667,18.15703,-67.33414,8033179,"SWPRICO",NA,NA,NA,NA,NA,"OPEN",NA,"SHLW",10.9727996488704,11.5823996293632,10,"ACR CERV","Acropora cervicornis",0,0,NA,NA,NA,NA,NA,NA,NA
"PRICO",6220,1,2021,4,30,"PVMT","PVMT_SHLW",NA,NA,0.0806666666666667,18.15863,-67.27167,8060839,"SWPRICO",NA,NA,NA,NA,NA,"OPEN",NA,"SHLW",7.92479974640641,8.53439972689921,10,"ACR CERV","Acropora cervicornis",0,0,NA,NA,NA,NA,NA,NA,NA
"PRICO",6222,1,2021,10,15,"AGRF","AGRF_DEEP",NA,NA,0.513333333333333,18.0804,-65.45698,7259492,"EPRICO",NA,NA,NA,NA,NA,"OPEN",NA,"DEEP",11.8871996196096,14.0207995513344,10,"ACR CERV","Acropora cervicornis",0,0,NA,NA,NA,NA,NA,NA,NA
"PRICO",6226,1,2021,4,30,"HARD","HARD_SHLW",NA,NA,0.0526666666666667,18.16517,-67.308,8157110,"SWPRICO",NA,NA,NA,NA,NA,"OPEN",NA,"SHLW",10.667999658624,11.2775996391168,10,"ACR CERV","Acropora cervicornis",0,0,NA,NA,NA,NA,NA,NA,NA
"PRICO",6227,1,2021,11,18,"AGRF","AGRF_DEEP",NA,NA,0.473333333333333,18.07985,-65.37696,7266542,"EPRICO",NA,NA,NA,NA,NA,"OPEN",NA,"DEEP",27.1271991319296,28.0415991026688,10,"ACR CERV","Acropora cervicornis",0,0,NA,NA,NA,NA,NA,NA,NA
"PRICO",6229,1,2021,10,15,"PVMT","PVMT_SHLW",NA,NA,0.243333333333333,18.08228,-65.48692,7273191,"EPRICO",NA,NA,NA,NA,NA,"OPEN",NA,"SHLW",5.79119981468161,6.09599980492801,10,"ACR CERV","Acropora cervicornis",1,0,22,13,8,0,0,"N","A"
"PRICO",6230,1,2021,9,3,"AGRF","AGRF_DEEP",NA,NA,0.35,18.08678,-65.7223,7279574,"EPRICO",NA,NA,NA,NA,NA,"OPEN",NA,"DEEP",18.287999414784,19.2023993855232,10,"ACR CERV","Acropora cervicornis",0,0,NA,NA,NA,NA,NA,NA,NA
"PRICO",6233,1,2021,10,15,"PVMT","PVMT_SHLW",NA,NA,0.136666666666667,18.08586,-65.48874,7328243,"EPRICO",NA,NA,NA,NA,NA,"OPEN",NA,"SHLW",7.31519976591361,7.61999975616001,10,"ACR CERV","Acropora cervicornis",1,0,18,5,9,0,0,"N","A"
"PRICO",6236,1,2021,11,18,"PTRF","PTRF_SHLW",NA,NA,0.396666666666667,18.08724,-65.4415,7362753,"EPRICO",NA,NA,NA,NA,NA,"OPEN",NA,"SHLW",5.79119981468161,6.40079979517441,10,"ACR CERV","Acropora cervicornis",0,0,NA,NA,NA,NA,NA,NA,NA
"PRICO",6238,1,2021,12,10,"PVMT","PVMT_DEEP",NA,NA,0.136666666666667,18.09642,-65.73982,7424058,"EPRICO",NA,NA,NA,NA,NA,"OPEN",NA,"DEEP",14.3255995415808,14.6303995318272,10,"ACR CERV","Acropora cervicornis",0,0,NA,NA,NA,NA,NA,NA,NA
"PRICO",6241,1,2021,11,18,"SCR","SCR_DEEP",NA,NA,0.146666666666667,18.09554,-65.39592,7500489,"EPRICO",NA,NA,NA,NA,NA,"OPEN",NA,"DEEP",14.6303995318272,15.23999951232,10,"ACR CERV","Acropora cervicornis",0,0,NA,NA,NA,NA,NA,NA,NA
"PRICO",6242,1,2021,9,3,"AGRF","AGRF_DEEP",NA,NA,0.913333333333333,18.1024,-65.68559,7527403,"EPRICO",NA,NA,NA,NA,NA,"OPEN",NA,"DEEP",24.6887992099584,26.5175991514368,10,"ACR CERV","Acropora cervicornis",0,0,NA,NA,NA,NA,NA,NA,NA
"PRICO",6243,1,2021,8,5,"PTRF","PTRF_SHLW",NA,NA,0.24,18.1274,-67.30273,7585916,"SWPRICO",NA,NA,NA,NA,NA,"OPEN",NA,"SHLW",11.2775996391168,11.8871996196096,10,"ACR CERV","Acropora cervicornis",0,0,NA,NA,NA,NA,NA,NA,NA
"PRICO",6248,1,2021,8,5,"AGRF","AGRF_SHLW",NA,NA,0.126666666666667,18.13573,-67.27049,7716742,"SWPRICO",NA,NA,NA,NA,NA,"OPEN",NA,"SHLW",6.09599980492801,6.40079979517441,10,"ACR CERV","Acropora cervicornis",0,0,NA,NA,NA,NA,NA,NA,NA
"PRICO",6249,1,2021,9,3,"PVMT","PVMT_DEEP",NA,NA,0.31,18.11531,-65.66733,7727019,"EPRICO",NA,NA,NA,NA,NA,"OPEN",NA,"DEEP",15.5447995025664,17.0687994537984,10,"ACR CERV","Acropora cervicornis",0,0,NA,NA,NA,NA,NA,NA,NA
"PRICO",6250,1,2021,8,5,"PTRF","PTRF_SHLW",NA,NA,0.316666666666667,18.13653,-67.26942,7730508,"SWPRICO",NA,NA,NA,NA,NA,"OPEN",NA,"SHLW",7.61999975616001,8.53439972689921,10,"ACR CERV","Acropora cervicornis",0,0,NA,NA,NA,NA,NA,NA,NA
"PRICO",6254,1,2021,9,3,"SCR","SCR_DEEP",NA,NA,0.01,18.11963,-65.68895,7788911,"EPRICO",NA,NA,NA,NA,NA,"OPEN",NA,"DEEP",19.2023993855232,19.5071993757696,10,"ACR CERV","Acropora cervicornis",0,0,NA,NA,NA,NA,NA,NA,NA
